0,1_x,2_x,3_x,4_x,5_x,6,7,1_y,2_y,1,2,3_y,4_y,5_y
NAME,S1701_C03_001E,S2701_C03_001E,S1901_C01_012E,S1501_C01_005E,S1501_C01_012E,S1501_C01_001E,S1501_C01_006E,DP03_0009PE,DP03_0021PE,B19057_002E,B19057_001E,B25077_001E,B25064_001E,ucgid
Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Estimate!!Households!!Median income (dollars),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!Total:!!With public assistance income,Estimate!!Total:,Estimate!!Median value (dollars),Estimate!!Median gross rent,Geography
"Robeson County, North Carolina",28.1,87.1,40996,531,7147,12030,74858,4.7,0.2,157,43590,87100,786,0500000US37155
"Rockingham County, North Carolina",12.2,91.3,59434,738,8075,6633,67324,6.3,0.0,1251,39251,174900,790,0500000US37157
"Rowan County, North Carolina",15.2,92.2,65904,1449,17068,14343,104520,5.1,0.0,440,60965,273700,974,0500000US37159
"Rutherford County, North Carolina",13.8,88.6,47557,538,6154,4794,47677,5.8,0.1,79,26805,207900,794,0500000US37161
"Stanly County, North Carolina",9.6,94.5,65456,614,7249,5304,46385,2.5,0.4,401,25371,235800,856,0500000US37167
"Surry County, North Carolina",13.1,90.5,58291,589,7700,5485,51117,4.3,0.3,1522,30752,181800,697,0500000US37171
"Union County, North Carolina",8.8,92.9,98215,2745,44602,23637,167990,3.2,0.3,814,87714,446600,1559,0500000US37179
"Wake County, North Carolina",7.1,93.3,102918,21894,287025,102963,816613,3.4,0.7,3790,481294,482100,1652,0500000US37183
"Wayne County, North Carolina",17.5,87.3,55461,449,12287,11591,79276,8.0,0.5,517,47035,181800,931,0500000US37191
"Wilkes County, North Carolina",17.3,89.3,47022,220,6174,5378,47621,5.3,0.1,169,26154,182600,655,0500000US37193
"Wilson County, North Carolina",19.8,88.5,51247,623,6712,6482,54537,6.4,0.0,894,34524,212200,1005,0500000US37195
"Burleigh County, North Dakota",7.5,96.4,85172,1575,18988,8947,68141,2.3,0.0,544,42486,309500,926,0500000US38015
"Cass County, North Dakota",9.9,96.3,73742,4479,35875,29036,123920,3.6,0.2,862,84603,293700,968,0500000US38017
"Grand Forks County, North Dakota",13.3,97.6,72536,2044,8544,14327,43613,3.2,0.1,611,32099,257400,949,0500000US38035
"Ward County, North Dakota",4.1,93.6,72370,1005,9521,6885,44983,1.6,0.6,456,28565,251800,1010,0500000US38101
"Allen County, Ohio",13.7,94.5,66891,1128,8060,8780,68452,5.2,0.3,526,42147,179800,941,0500000US39003
"Ashtabula County, Ohio",19.3,93.2,57577,73,8377,7501,68261,4.2,0.5,991,37507,161600,721,0500000US39007
"Belmont County, Ohio",15.0,95.0,56361,373,6746,5000,47815,4.4,0.0,724,27281,151500,743,0500000US39013
"Butler County, Ohio",11.9,94.3,80135,4452,50680,48335,254202,3.4,0.5,2900,148804,275100,1139,0500000US39017
"Clark County, Ohio",15.3,94.2,57910,279,11048,10454,93767,5.6,0.5,1332,55322,173800,785,0500000US39023
"Clermont County, Ohio",8.7,94.5,81173,1916,29918,16284,149457,2.5,0.3,2095,87429,279700,1076,0500000US39025
"Columbiana County, Ohio",16.0,93.3,53455,1038,7468,7074,73316,4.0,0.4,816,42415,163700,756,0500000US39029
"Cuyahoga County, Ohio",15.7,94.5,61862,17858,183149,100861,881523,5.8,3.3,12091,551306,197900,1053,0500000US39035
"Delaware County, Ohio",5.5,96.1,126513,2599,53858,19926,155193,2.5,0.2,385,84413,460600,1494,0500000US39041
"Erie County, Ohio",12.6,97.1,61648,414,10625,4515,55188,3.5,1.4,539,33608,197000,895,0500000US39043
"Fairfield County, Ohio",8.0,95.0,84759,1645,21218,13149,112784,2.4,0.3,1138,62834,314800,1146,0500000US39045
"Franklin County, Ohio",15.0,91.2,71680,21137,235101,126000,893378,3.9,1.8,7897,561634,301000,1287,0500000US39049
"Geauga County, Ohio",6.2,88.6,99305,1495,14557,7587,66917,3.1,0.2,467,36405,318800,904,0500000US39055
"Greene County, Ohio",9.7,94.7,83866,2464,25397,18768,116302,2.7,0.7,770,70169,265500,1204,0500000US39057
"Hamilton County, Ohio",13.3,94.5,68519,13113,141310,77409,560823,4.3,2.5,6140,360340,250500,1053,0500000US39061
"Hancock County, Ohio",11.3,97.1,70736,930,10879,6723,52725,1.8,0.3,99,31675,208500,989,0500000US39063
"Lake County, Ohio",11.1,95.9,72620,2376,36627,17901,169725,3.6,0.6,1774,103532,217600,1085,0500000US39085
"Licking County, Ohio",9.5,94.5,75976,1797,22925,15839,125853,3.3,0.2,791,68568,277400,1048,0500000US39089
"Lorain County, Ohio",10.6,95.6,75461,3701,38324,26355,224008,3.6,0.1,2798,128887,223800,930,0500000US39093
"Lucas County, Ohio",18.2,94.8,60426,4592,49292,37368,291778,5.8,1.3,6631,182625,168400,934,0500000US39095
"Mahoning County, Ohio",19.8,94.7,51738,2189,25902,17890,162089,4.3,1.3,2042,98872,154300,813,0500000US39099
"Marion County, Ohio",16.9,94.8,53995,212,3319,4574,46515,5.3,-999999999.0,925,24957,153800,814,0500000US39101
"Medina County, Ohio",9.1,95.6,89647,2261,30348,13427,131761,2.9,0.2,744,73675,284800,1128,0500000US39103
"Miami County, Ohio",10.5,95.5,75366,1591,12710,7933,77994,4.7,0.6,1509,44756,255500,884,0500000US39109
"Montgomery County, Ohio",15.2,93.6,62450,5982,68883,49171,366667,5.1,0.9,4050,235734,184100,1014,0500000US39113
"Muskingum County, Ohio",19.5,94.4,56654,906,7628,7505,59260,4.9,0.0,914,32776,184900,840,0500000US39119
"Portage County, Ohio",13.6,96.0,73220,4499,20868,25706,108426,2.8,1.6,726,65601,229800,1085,0500000US39133
"Richland County, Ohio",14.0,92.7,56664,732,10866,8785,89346,6.4,1.1,1496,51046,176800,808,0500000US39139
"Ross County, Ohio",18.1,93.6,60666,216,7555,5547,54546,3.8,0.2,144,28870,177200,865,0500000US39141
"Scioto County, Ohio",17.2,96.6,52159,500,6132,6401,50382,6.5,0.1,1088,30143,163400,805,0500000US39145
"Stark County, Ohio",12.1,94.9,63145,2778,46854,30353,262385,3.1,0.9,3159,156143,188500,891,0500000US39151
"Summit County, Ohio",12.7,95.0,69577,5896,91659,43077,382690,4.6,0.9,5504,232592,210500,1007,0500000US39153
"Trumbull County, Ohio",17.6,92.6,51016,2196,19050,15065,144310,3.6,0.5,2769,87955,142900,761,0500000US39155
"Tuscarawas County, Ohio",15.8,91.3,60604,445,8011,7299,63441,3.1,0.0,751,39110,185500,850,0500000US39157
"Union County, Ohio",5.0,96.8,101968,354,11023,4961,48168,0.5,1.4,630,25554,358900,1247,0500000US39159
"Warren County, Ohio",5.9,95.2,107541,2382,50084,18514,174225,3.1,0.2,720,93271,364700,1453,0500000US39165
"Wayne County, Ohio",8.3,87.7,69101,392,13417,11507,77279,2.3,0.1,655,44453,218900,886,0500000US39169
"Wood County, Ohio",9.8,96.4,72947,4031,16723,21017,85052,3.4,0.3,559,54408,229400,929,0500000US39173
"Canadian County, Oklahoma",7.8,91.1,86061,1359,26633,14871,116259,2.8,0.0,844,58214,260400,1329,0500000US40017
"Cleveland County, Oklahoma",13.3,91.5,74495,5270,38136,46391,194423,3.7,0.3,2248,118062,245700,1149,0500000US40027
"Comanche County, Oklahoma",20.0,91.2,56706,1468,12176,13701,79021,7.8,0.4,1117,45945,160900,991,0500000US40031
"Creek County, Oklahoma",16.0,90.3,55857,334,6557,6643,50156,3.1,0.0,524,28988,189400,882,0500000US40037
"Muskogee County, Oklahoma",21.1,88.8,52484,373,5023,5965,44527,5.9,0.5,1989,26362,157300,800,0500000US40101
"Oklahoma County, Oklahoma",16.0,87.7,65948,9767,126601,76428,528587,5.2,0.4,9391,335473,242700,1143,0500000US40109
"Payne County, Oklahoma",23.9,90.4,56371,2941,11430,23032,44892,3.7,0.6,692,32739,227300,953,0500000US40119
"Pottawatomie County, Oklahoma",17.3,88.0,56579,405,6995,7111,49581,2.7,0.0,1027,27150,175000,832,0500000US40125
"Rogers County, Oklahoma",9.2,90.5,70200,451,13031,9050,68007,3.4,0.2,462,37082,247500,1053,0500000US40131
"Tulsa County, Oklahoma",15.2,87.7,65479,6757,100988,62775,450351,4.9,0.5,6147,275702,238600,1108,0500000US40143
"Wagoner County, Oklahoma",10.6,90.1,80372,264,10875,6741,61598,3.9,0.1,500,31633,240100,1088,0500000US40145
"Benton County, Oregon",18.4,96.8,73047,3058,18286,21842,61110,5.5,1.4,1008,38306,538100,1368,0500000US41003
"Clackamas County, Oregon",6.6,95.7,100675,2691,80078,29473,306243,2.6,1.1,4528,167319,605400,1749,0500000US41005
"Deschutes County, Oregon",8.6,95.3,97163,1478,48380,13247,156709,3.2,0.3,2081,88597,662700,1806,0500000US41017
"Douglas County, Oregon",16.3,95.2,60889,201,10125,7389,83419,4.0,1.6,2056,47733,326900,1038,0500000US41019
"Jackson County, Oregon",12.2,94.0,71666,1327,29160,16675,159533,4.3,0.7,1858,92225,431500,1419,0500000US41029
"Josephine County, Oregon",13.9,94.1,64170,917,8349,5310,65953,6.2,0.7,1827,37241,399400,1166,0500000US41033
"Klamath County, Oregon",20.7,95.8,52547,153,6209,5050,49467,7.0,0.0,1066,30395,271700,987,0500000US41035
"Lane County, Oregon",14.7,94.8,70374,4900,52835,46841,268607,5.6,1.7,5619,162001,438200,1373,0500000US41039
"Linn County, Oregon",15.7,94.6,70548,214,15721,9324,93289,3.8,0.0,1444,51636,398300,1359,0500000US41043
"Marion County, Oregon",14.3,90.3,73417,2540,44764,31113,234997,4.6,1.4,3881,129087,429400,1416,0500000US41047
"Multnomah County, Oregon",12.9,95.3,83583,12662,181919,61657,591613,3.8,5.7,12428,354646,543700,1543,0500000US41051
"Polk County, Oregon",12.8,95.3,80328,950,11733,10866,60133,7.2,0.5,1384,33113,466500,1201,0500000US41053
"Umatilla County, Oregon",18.9,91.2,60582,426,7138,5935,54752,2.8,0.8,883,30821,299200,963,0500000US41059
"Washington County, Oregon",8.0,95.1,103713,7797,128241,47680,424964,3.6,3.0,7558,237507,589000,1818,0500000US41067
"Yamhill County, Oregon",10.6,94.1,89160,1032,16967,10737,75844,6.1,0.2,1162,40380,471900,1421,0500000US41071
"Adams County, Pennsylvania",9.9,94.3,76725,744,10803,10494,75880,3.1,0.3,894,41810,275300,1061,0500000US42001
"Allegheny County, Pennsylvania",11.7,96.4,76615,19502,241221,107068,891599,3.9,6.3,12354,547396,232300,1154,0500000US42003
"Armstrong County, Pennsylvania",11.0,96.3,61836,432,6507,4030,47992,2.9,0.0,1124,28117,157800,724,0500000US42005
"Beaver County, Pennsylvania",9.7,96.5,66768,1532,25563,11906,121837,3.0,0.6,2646,73220,191100,840,0500000US42007
"Berks County, Pennsylvania",12.3,92.4,75675,4249,50238,41478,297165,5.0,1.3,4695,163307,261200,1219,0500000US42011
"Blair County, Pennsylvania",14.7,94.0,54002,944,12503,9799,86686,3.4,1.3,1522,50651,157000,837,0500000US42013
"Bucks County, Pennsylvania",6.7,96.9,107221,8837,123486,49475,469067,3.5,2.4,6132,249189,450900,1612,0500000US42017
"Butler County, Pennsylvania",9.5,96.8,80379,1973,33921,17597,142804,4.1,0.2,2127,81535,296300,1060,0500000US42019
"Cambria County, Pennsylvania",12.5,97.0,55748,1268,13485,11537,94077,3.8,0.7,2296,57282,121800,725,0500000US42021
"Carbon County, Pennsylvania",12.5,94.5,64229,343,5053,4358,48933,6.1,0.6,742,28934,207900,1074,0500000US42025
"Centre County, Pennsylvania",18.7,95.1,69101,2859,22803,38812,96558,3.6,3.1,690,62175,322900,1198,0500000US42027
"Chester County, Pennsylvania",6.1,96.1,120903,10252,126133,49738,380770,3.0,1.7,4393,205426,489500,1719,0500000US42029
"Clearfield County, Pennsylvania",16.0,92.5,60711,660,7614,5380,57517,3.5,0.1,1617,33554,145100,790,0500000US42033
"Columbia County, Pennsylvania",10.9,96.1,63683,872,7281,10092,44306,5.7,0.1,349,25929,224000,870,0500000US42037
"Crawford County, Pennsylvania",12.2,91.8,60797,115,8505,6403,58754,2.9,0.0,1391,34813,150500,764,0500000US42039
"Cumberland County, Pennsylvania",7.9,93.5,82174,4219,47047,29275,186391,2.7,0.3,2210,107981,285200,1148,0500000US42041
"Dauphin County, Pennsylvania",13.3,93.2,74170,4568,44914,23201,201713,4.4,0.9,6616,121773,239800,1244,0500000US42043
"Delaware County, Pennsylvania",10.9,95.3,84085,7035,92730,56289,393927,5.9,6.4,5456,215645,333800,1307,0500000US42045
"Erie County, Pennsylvania",14.6,96.6,60663,3109,33203,27609,185141,3.8,1.2,4411,111118,179200,894,0500000US42049
