county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Lowndes County, Georgia",20.5,88.4,54509,4.8,0.1,221800,1029,16.66,3.22
"Muscogee County, Georgia",21.5,89.8,51835,6.5,1.2,198200,1004,16.69,3.34
"Newton County, Georgia",10.1,91.2,79640,5.7,0.1,295800,1564,14.62,2.6
"Paulding County, Georgia",7.2,93.4,94126,3.5,0.0,354000,1798,17.83,1.06
"Richmond County, Georgia",21.8,86.9,51985,7.6,1.1,197100,1149,14.37,1.15
"Rockdale County, Georgia",11.8,88.9,82339,6.0,0.2,328200,1553,20.84,1.8
"Spalding County, Georgia",13.9,85.2,56169,3.1,0.0,240400,1073,11.33,3.29
"Troup County, Georgia",19.1,89.1,64728,6.6,0.0,241000,1126,14.41,1.82
"Walker County, Georgia",15.2,85.8,58594,3.1,0.0,219800,796,10.74,2.6
"Walton County, Georgia",9.1,89.2,77346,5.9,1.9,357200,1402,15.11,2.22
"Whitfield County, Georgia",17.5,82.7,62824,2.7,0.1,243400,935,11.75,1.33
"Hawaii County, Hawaii",17.5,96.5,74580,4.2,0.8,528800,1492,18.48,2.93
"Honolulu County, Hawaii",9.0,97.0,103131,3.5,5.3,899300,2033,23.3,3.28
"Kauai County, Hawaii",7.6,97.4,103564,3.0,1.9,888500,1816,18.6,3.01
"Maui County, Hawaii",8.8,95.7,83691,3.0,1.4,934500,1828,19.17,3.98
"Ada County, Idaho",8.1,93.4,90526,3.1,0.5,525600,1599,26.94,2.12
"Bannock County, Idaho",10.8,94.3,68495,2.4,1.8,341800,1068,20.06,2.45
"Bonneville County, Idaho",11.6,92.9,73649,1.9,2.8,374800,1182,21.81,3.96
"Canyon County, Idaho",10.3,86.7,72007,3.8,0.0,378600,1366,16.45,2.73
"Kootenai County, Idaho",10.0,91.0,73456,4.0,0.1,556500,1426,19.75,2.39
"Twin Falls County, Idaho",9.3,92.5,66643,2.6,0.0,329000,1142,13.01,3.3
"Champaign County, Illinois",16.3,95.4,59574,3.4,4.1,216100,987,21.3,2.28
"Cook County, Illinois",13.3,92.2,80579,5.6,13.4,313700,1386,24.58,2.66
"DeKalb County, Illinois",12.8,94.1,67697,4.8,1.6,244000,1037,18.76,3.91
"DuPage County, Illinois",6.5,94.8,106961,4.0,4.6,383100,1672,29.51,1.74
"Kane County, Illinois",8.2,92.5,97633,3.8,2.2,324000,1479,23.88,1.05
"Kankakee County, Illinois",9.9,96.0,66788,3.4,1.2,182900,1058,11.54,2.65
"Kendall County, Illinois",5.7,94.3,111349,3.8,1.3,326700,1714,23.19,1.36
"Lake County, Illinois",8.1,94.1,108364,4.5,3.0,340400,1406,25.97,1.53
"LaSalle County, Illinois",11.1,96.8,72737,5.2,0.0,154300,885,13.79,1.72
"McHenry County, Illinois",6.2,95.9,100884,2.9,1.5,308300,1369,22.86,0.92
"McLean County, Illinois",11.4,96.0,77200,2.6,1.1,211000,1013,28.04,1.71
"Macon County, Illinois",15.5,97.3,58297,6.0,0.4,115300,822,13.89,3.37
"Madison County, Illinois",10.7,96.1,73041,3.5,0.3,173300,999,21.53,2.19
"Peoria County, Illinois",17.6,95.1,61488,6.6,0.8,153000,938,20.54,5.35
"Rock Island County, Illinois",15.6,96.4,63087,3.1,2.0,144100,845,14.83,3.33
"St. Clair County, Illinois",12.7,94.8,65546,4.6,1.4,185400,1077,16.13,2.84
"Sangamon County, Illinois",12.0,95.8,72496,4.5,0.7,181700,956,22.81,1.72
"Tazewell County, Illinois",8.7,94.4,72056,3.6,0.4,162000,869,19.3,1.71
"Vermilion County, Illinois",20.9,95.3,46507,7.9,0.0,96100,850,8.66,5.16
"Will County, Illinois",7.1,95.8,103482,3.7,2.3,322200,1527,21.4,1.25
"Williamson County, Illinois",19.1,95.6,60135,4.1,0.0,155900,980,14.06,3.37
"Winnebago County, Illinois",14.9,94.7,65513,5.6,0.4,161400,988,13.28,4.09
"Allen County, Indiana",13.2,91.4,65704,4.3,0.8,226000,957,19.92,1.58
"Bartholomew County, Indiana",10.8,95.3,81832,3.5,0.9,253900,1169,19.8,0.49
"Boone County, Indiana",2.7,96.0,103592,0.8,0.0,369300,1303,26.08,0.89
"Clark County, Indiana",8.8,94.6,71711,3.7,0.1,232400,1109,16.29,1.51
"Delaware County, Indiana",19.7,92.4,55206,3.8,1.5,139700,878,14.51,3.38
