poverty_rate,health_insurance,unemployment_rate,bachelor_holders,public_assistance,log_median_income,log_public_transit,sqrt_median_house_value
7.4,96.6,2.3,29.78,0.84,11.491650754691374,0.0,592.5369186810219
9.2,97.0,2.2,20.93,0.83,11.183587717249615,0.8754687373538999,481.3522618623496
16.3,94.6,2.2,26.87,1.87,11.17833345960585,1.8082887711792655,557.4047003748713
9.9,96.2,3.2,22.24,1.43,11.188288909524681,0.5877866649021191,472.12286536451506
11.7,94.2,3.3,26.0,1.53,11.27693727332721,0.4054651081081644,520.8646657242167
12.1,95.5,3.4,13.14,2.22,11.165351835277841,0.9932517730102833,464.9731175025068
10.2,95.2,3.3,23.66,1.74,11.249246336447742,0.18232155679395465,492.9503017546495
16.8,96.5,3.2,24.18,0.86,11.134983107173381,1.33500106673234,510.48996072400877
12.7,92.0,2.6,13.6,2.29,11.080803190799589,0.9932517730102833,427.6680956068619
8.8,95.0,1.9,19.99,0.76,11.21943991822477,0.0,471.38094997570704
13.7,92.5,5.2,22.94,0.95,11.11240312125122,1.308332819650179,552.8109984434101
5.3,95.0,2.3,34.39,0.62,11.539586869923719,0.18232155679395465,622.6556030423238
7.0,94.4,2.6,18.96,2.38,11.31351064723008,0.0,524.8809388804284
19.6,94.5,4.1,22.24,0.4,11.044887901749453,0.18232155679395465,470.6378650300037
13.7,89.9,3.6,19.38,1.82,11.107150308802131,0.5306282510621704,457.93012567421243
12.7,91.7,3.8,17.53,1.86,11.043113817294852,0.09531017980432487,428.01869118065395
16.9,83.2,5.0,12.15,1.51,11.031108330238945,0.8754687373538999,420.7136793592526
7.7,96.3,3.1,23.69,2.03,11.379965337713998,0.262364264467491,534.4155686354954
7.6,97.0,3.7,12.3,0.32,11.210481638644469,0.0,510.3920062069938
9.9,94.4,2.9,21.11,2.3,11.307756891425665,0.5877866649021191,518.1698563212645
17.3,90.6,7.6,12.91,0.88,10.923381256492833,0.0,418.68842830916645
18.6,95.0,4.1,12.56,1.88,11.033630807483584,0.0,447.7722635447622
16.0,93.4,4.2,26.62,1.16,11.103331846278284,0.8754687373538999,542.4942396007538
15.8,94.0,4.5,14.32,0.49,11.058826680447785,0.0,487.03182647543684
16.0,94.4,4.5,20.86,2.36,11.07507145366006,1.0296194171811581,500.7993610219566
10.3,96.2,3.1,22.25,1.88,11.282152886491527,0.6931471805599453,501.49775672479336
15.6,95.4,1.3,14.83,0.71,11.01402841206951,0.4054651081081644,423.7924020083418
13.0,94.0,3.5,19.94,2.94,11.089835955508324,0.0,503.0904491242107
6.6,98.2,2.4,25.96,1.55,11.691515066674505,0.09531017980432487,622.4949798994367
15.7,93.1,4.2,6.91,2.18,10.927142790736806,0.0,435.3159771935783
13.7,93.5,3.9,19.15,1.08,11.019726901054444,0.4054651081081644,518.3628073077774
10.2,93.8,3.7,16.11,1.12,11.409673835159754,0.33647223662121295,529.055762656452
14.2,91.9,4.1,12.85,0.54,11.17556283206387,0.33647223662121295,459.8912915026767
23.4,92.9,5.7,16.9,1.36,10.827250299248984,0.6418538861723948,412.91645644125157
18.1,93.8,3.4,16.06,0.72,11.06491813359639,0.0,470.6378650300037
20.2,93.5,6.0,20.86,1.02,10.992773149181277,0.9162907318741551,503.2891812864648
21.7,93.6,7.8,10.34,1.49,10.884666744312142,0.6418538861723948,384.0572873934304
17.0,90.1,5.2,16.56,1.5,11.02002161583816,0.5306282510621704,509.0186637049765
17.5,91.0,3.3,22.97,0.58,11.05272958215556,0.4054651081081644,494.368283772331
22.3,95.1,2.8,14.79,1.35,10.931784667289213,0.18232155679395465,441.81444068749045
15.7,93.1,3.0,12.0,1.79,11.194440483363403,0.18232155679395465,472.86361670147556
22.6,93.9,5.3,22.19,0.73,10.925578703296495,1.6863989535702288,553.5341001239219
21.5,92.4,7.0,18.83,2.25,10.872275853368038,0.18232155679395465,441.92759587968703
20.4,90.7,4.5,12.23,0.98,10.84546552414626,0.6931471805599453,413.40053217188773
22.7,94.3,2.8,8.15,0.68,10.630867063391808,0.5877866649021191,337.78691508109074
13.0,94.3,4.6,22.74,1.06,11.243999721000892,0.09531017980432487,535.2569476429054
18.4,93.4,5.9,12.72,0.62,10.90443188402608,0.0,467.2258554489467
13.8,91.1,2.5,12.88,1.66,11.067950001766604,0.09531017980432487,430.4648650006177
14.0,93.4,4.1,15.6,6.99,11.057282229917783,0.18232155679395465,512.8352561983233
10.4,93.0,3.1,19.6,4.41,10.951332724150584,0.0,392.93765408777
6.3,96.0,2.2,32.82,1.57,11.496480992754208,1.0647107369924282,686.0029154456998
12.2,94.1,4.9,18.52,2.88,11.067934397125784,0.262364264467491,503.189825016365
13.2,94.1,2.5,16.13,3.84,11.102442789900266,0.5306282510621704,478.1213235152768
7.8,95.4,2.9,24.44,1.55,11.367090116746684,0.6418538861723948,650.0769185258004
19.8,95.9,4.7,10.38,1.93,10.903825271935897,0.33647223662121295,383.275357934736
5.7,95.2,3.4,22.82,0.94,11.675469394155508,0.8754687373538999,678.675180038286
9.7,94.9,3.9,21.68,1.62,11.374306868725707,1.3862943611198906,588.1326381013045
2.6,97.0,2.9,19.93,1.86,11.746874426997156,0.832909122935104,688.0406964707829
6.8,97.4,2.5,23.7,1.29,11.652461294827356,0.33647223662121295,658.2552696332936
10.3,98.1,3.4,15.7,5.34,11.415995974790254,0.4054651081081644,572.2761571129798
7.8,93.4,5.8,16.48,1.65,11.562543857492422,1.2237754316221157,640.3124237432849
6.4,95.3,1.9,24.07,1.84,11.647106646436248,0.832909122935104,680.0735254367721
7.2,95.8,4.5,22.28,1.37,11.561991781482282,0.5306282510621704,623.2174580353153
